Feature 1,Feature 2,Interaction Score
Early Presser Profile,Body weight doubt,0.0
Early Profile,Conditioning run last start,0.0
Sprint,Conditioning run last start,0.0
Outside Barrier,Body weight doubt,0.0
Early Profile,Body weight doubt,0.0
Outside Barrier,Conditioning run last start,0.0
RECENCY 16-22,Conditioning run last start,0.0
Conditioning run last start,Lost 2 Length Last Furlong,0.0
DOWN CLASS,Conditioning run last start,0.0
Conditioning run last start,Last Race Shorter Distance,0.0
Conditioning run last start,Last Race Longer Distance,0.0
RECENCY 23-29,Conditioning run last start,0.0
